Price,District,City,Town,Type,EnergyCertificate,Floor,Lift,Parking,HasParking,ConstructionYear,TotalArea,GrossArea,PublishDate,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,ConservationStatus,LivingArea,LotSize,BuiltArea,NumberOfBathrooms
100000.0,Coimbra,Coimbra,São Martinho do Bispo e Ribeira de Frades,Land,NC,,False,0.0,False,,1100.0,,,,,,,,,,,,,0.0
29000.0,Coimbra,Montemor-o-Velho,Arazede,Other - Residential,NC,,False,0.0,False,,1489.0,,,,,,,,,,,,,0.0
25000.0,Coimbra,Mira,Carapelhos,Land,NC,,False,0.0,False,,1600.0,,,,,,,,,,,,,0.0
53000.0,Coimbra,Coimbra,Cernache,Land,NC,,False,0.0,False,,1163.0,1163.0,,,,,,,,,536.0,,,0.0
80000.0,Coimbra,Condeixa-a-Nova,Sebal e Belide,Land,NC,,False,0.0,False,,1930.0,,,,,,,,,,,,,0.0
185000.0,Coimbra,Coimbra,Brasfemes,Apartment,NC,Ground Floor,False,2.0,True,2023.0,729.0,189.0,,,,,3.0,,,,120.0,,,2.0
45000.0,Coimbra,Figueira da Foz,Buarcos e São Julião,Office,E,1st Floor,False,0.0,False,,52.0,,,,,,,,,,,,,1.0
33000.0,Coimbra,Figueira da Foz,Ferreira-a-Nova,Land,NC,,False,0.0,False,,498.0,98.0,,,,,,,,,78.0,,,0.0
850000.0,Coimbra,Penacova,Penacova,Land,NC,,False,0.0,False,,50000.0,,,,,,0.0,,,,50000.0,,,0.0
65000.0,Coimbra,Montemor-o-Velho,Santo Varão,House,NC,,False,3.0,True,1951.0,3015.0,64.0,,,,,2.0,,,,64.0,,,1.0
85000.0,Coimbra,Figueira da Foz,Paião,Land,NC,,False,0.0,False,,2600.0,2600.0,,,,,,,,,2600.0,,,0.0
99000.0,Coimbra,Coimbra,"Taveiro, Ameal e Arzila",Land,NC,,False,0.0,False,,6211.0,,,,,,,,,,,,,0.0
5000.0,Coimbra,Miranda do Corvo,Lamas,Land,NC,,False,0.0,False,,4940.0,,,,,,,,,,,,,0.0
45000.0,Coimbra,Figueira da Foz,Vila Verde,Land,NC,,False,0.0,False,,1600.0,,,,,,,,,,,,,0.0
900000.0,Coimbra,Figueira da Foz,Buarcos e São Julião,Building,B-,,False,0.0,False,1992.0,100.0,445.0,,,,,11.0,,,,416.0,,,
615000.0,Leiria,Leiria,Coimbrão,Land,NC,,False,0.0,False,,23950.0,,,,,,0.0,,,,,,,0.0
37500.0,Coimbra,Coimbra,São Martinho do Bispo e Ribeira de Frades,Land,NC,,False,0.0,False,,434.0,,,,,,,,,,,,,0.0
100000.0,Coimbra,Penacova,Penacova,Land,NC,,False,0.0,False,,3062.0,,,,,,,,,,,,,0.0
950000.0,Coimbra,Oliveira do Hospital,Oliveira do Hospital e São Paio de Gramaços,Building,E,1st Floor,False,3.0,True,1996.0,1200.0,600.0,,,,,8.0,,,,590.0,,,6.0
30000.0,Coimbra,Pampilhosa da Serra,Fajão - Vidual,House,NC,,False,0.0,False,1937.0,300.0,60.0,,,,,6.0,,,,60.0,,,2.0
300000.0,Coimbra,Mira,Praia de Mira,Store,C,,False,0.0,False,,198.0,,,,,,,,,,,,,0.0
316000.0,Coimbra,Figueira da Foz,Buarcos e São Julião,Apartment,NC,5th Floor,True,1.0,True,2023.0,157.0,,,,,,3.0,,,,157.0,,,2.0
201450.0,Coimbra,Figueira da Foz,Buarcos e São Julião,Apartment,NC,5th Floor,True,1.0,True,2023.0,112.0,,,,,,2.0,,,,112.0,,,2.0
289170.0,Coimbra,Figueira da Foz,Buarcos e São Julião,Apartment,NC,5th Floor,True,1.0,True,2023.0,162.0,,,,,,4.0,,,,162.0,,,3.0
321300.0,Coimbra,Figueira da Foz,Buarcos e São Julião,Apartment,NC,6th Floor,True,1.0,True,2023.0,160.0,,,,,,4.0,,,,160.0,,,3.0
210000.0,Coimbra,Figueira da Foz,Buarcos e São Julião,Apartment,NC,6th Floor,True,1.0,True,2023.0,117.0,,,,,,2.0,,,,117.0,,,2.0
68000.0,Coimbra,Figueira da Foz,Paião,Land,NC,,False,0.0,False,,1000.0,1000.0,,,,,,,,,1000.0,,,0.0
40000.0,Coimbra,Soure,Soure,Investment,NC,,False,3.0,True,1970.0,310.0,,,,,,0.0,,,,,,,0.0
170000.0,Coimbra,Coimbra,São João do Campo,House,F,,False,1.0,True,1957.0,302.0,192.0,,,,,4.0,,,,190.0,,,3.0
764000.0,Coimbra,Figueira da Foz,Lavos,Building,B,,False,3.0,True,2017.0,2061.0,2061.0,,,,,6.0,,,,519.0,,,7.0
45000.0,Coimbra,Góis,Alvares,House,NC,2nd Floor,False,3.0,True,1976.0,800.0,,,,,,3.0,,,,258.0,,,1.0
100000.0,Coimbra,Soure,Granja do Ulmeiro,Store,C,Ground Floor,False,0.0,False,1998.0,140.0,,,,,,,,,,,,,1.0
1700000.0,Coimbra,Coimbra,Eiras e São Paulo de Frades,Land,NC,,False,0.0,False,,11435.0,,,,,,,,,,,,,0.0
150000.0,Coimbra,Soure,Soure,House,NC,,False,3.0,True,1970.0,5369.0,,,,,,4.0,,,,196.0,,,1.0
250000.0,Coimbra,Coimbra,Assafarge e Antanhol,Land,NC,,False,0.0,False,,53990.0,,,,,,,,,,,,,0.0
135000.0,Coimbra,Figueira da Foz,Buarcos e São Julião,Land,NC,,False,0.0,False,,18690.0,,,,,,,,,,,,,0.0
45000.0,Coimbra,Cantanhede,Tocha,Land,NC,,False,0.0,False,,1620.0,,,,,,,,,,,,,0.0
17400.0,Coimbra,Penela,Cumeeira,House,NC,,False,1.0,True,1937.0,258.0,200.0,,,,,5.0,,,,190.0,,,1.0
