Price,District,City,Town,Type,EnergyCertificate,Floor,Lift,Parking,HasParking,ConstructionYear,TotalArea,GrossArea,PublishDate,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,ConservationStatus,LivingArea,LotSize,BuiltArea,NumberOfBathrooms
1175000.0,Guarda,Seia,Tourais e Lajes,Farm,NC,,False,3.0,True,2014.0,72200.0,4735.0,,,,,0.0,,,,4735.0,,,2.0
200000.0,Guarda,Seia,Santiago,Land,NC,,False,0.0,False,,7293.0,,,,,,,,,,7293.0,,,0.0
47000.0,Guarda,Seia,Santiago,Land,NC,,False,2.0,True,,650.0,,,,,,,,,,320.0,,,0.0
59850.0,Guarda,Celorico da Beira,Forno Telheiro,House,E,,False,0.0,False,1970.0,75.0,,,,,,2.0,,,,93.0,,,1.0
29950.0,Viseu,Tondela,Guardão,House,NC,,False,0.0,False,1994.0,218.0,,,,,,0.0,,,,70.0,,,0.0
35000.0,Guarda,Seia,Tourais e Lajes,House,F,,False,3.0,True,1937.0,104.0,238.0,,,,,4.0,,,,185.0,,,4.0
48000.0,Guarda,Celorico da Beira,Ratoeira,House,F,,False,0.0,False,1970.0,65.0,,,,,,2.0,,,,65.0,,,1.0
45000.0,Guarda,Almeida,Vilar Formoso,Warehouse,NC,,False,0.0,False,1982.0,344.0,,,,,,,,,,140.0,,,0.0
260000.0,Guarda,Seia,"Seia, São Romão e Lapa dos Dinheiros",Farm,F,,False,0.0,False,,23999.0,,,,,,,,,,,,,0.0
75000.0,Guarda,Seia,Tourais e Lajes,House,F,,False,0.0,False,1950.0,81.0,219.0,,,,,4.0,,,,68.0,,,0.0
9900.0,Guarda,Fornos de Algodres,Sobral Pichorro e Fuinhas,Land,NC,,False,0.0,False,,770.0,,,,,,0.0,,,,,,,0.0
87500.0,Guarda,Sabugal,Baraçal,House,E,,False,3.0,True,1976.0,576.0,281.0,,,,,3.0,,,,162.0,,,2.0
255000.0,Guarda,Gouveia,Gouveia (São Pedro e São Julião),House,D,,False,3.0,True,2006.0,700.0,666.0,,,,,5.0,,,,317.0,,,5.0
920000.0,Guarda,Seia,Torrozelo e Folhadosa,Farm,F,,False,3.0,True,1946.0,18600000.0,80.0,,,,,4.0,,,,251.0,,,3.0
10500.0,Guarda,Figueira de Castelo Rodrigo,Escalhão,Land,NC,,False,0.0,False,,630.0,,,,,,,,,,,,,0.0
38000.0,Leiria,Ansião,Santiago da Guarda,Land,NC,,False,0.0,False,,1650.0,1650.0,,,,,,,,,1650.0,,,0.0
480000.0,Guarda,Sabugal,Sortelha,Store,A,,False,0.0,False,1995.0,440.0,440.0,,,,,,,,,306.0,,,0.0
60000.0,Guarda,Manteigas,Vale de Amoreira,Farm,NC,,False,3.0,True,1970.0,162.0,140.0,,,,,,,,,75.0,,,
117500.0,Guarda,Gouveia,Vila Franca da Serra,House,F,,False,1.0,True,2023.0,130.0,137.0,,,,,3.0,,,,82.0,,,3.0
50000.0,Guarda,Fornos de Algodres,Algodres,House,NC,,False,1.0,True,1968.0,6365.0,65.0,,,,,1.0,,,,65.0,,,0.0
99000.0,Guarda,Trancoso,Vila Franca das Naves e Feital,House,D,,False,2.0,True,1970.0,843.0,200.0,,,,,6.0,,,,115.0,,,
25000.0,Leiria,Ansião,Santiago da Guarda,House,NC,,False,0.0,False,1937.0,1086.0,1086.0,,,,,2.0,,,,114.0,,,0.0
14000.0,Guarda,Sabugal,Santo Estêvão e Moita,Land,NC,,False,0.0,False,,4500.0,,,,,,,,,,,,,0.0
13900.0,Guarda,Sabugal,Santo Estêvão e Moita,Land,NC,,False,0.0,False,,2200.0,2200.0,,,,,,,,,,,,0.0
14000.0,Guarda,Sabugal,Santo Estêvão e Moita,Land,NC,,False,0.0,False,,7000.0,,,,,,,,,,,,,0.0
89000.0,Guarda,Seia,"Seia, São Romão e Lapa dos Dinheiros",Land,NC,,False,0.0,False,,1879.0,,,,,,,,,,,,,0.0
130000.0,Guarda,Seia,Travancinha,House,F,,False,1.0,True,1937.0,859.0,,,,,,3.0,,,,208.0,,,3.0
70000.0,Guarda,Pinhel,Alverca da Beira/Bouça Cova,House,F,,False,0.0,False,1949.0,84.0,168.0,,,,,3.0,,,,82.0,,,0.0
60000.0,Guarda,Fornos de Algodres,Figueiró da Granja,House,F,,False,1.0,True,1953.0,120.0,92.0,,,,,3.0,,,,110.0,,,0.0
20000.0,Guarda,Gouveia,Ribamondego,House,NC,,False,0.0,False,1951.0,152.0,152.0,,,,,2.0,,,,90.0,,,1.0
60000.0,Guarda,Fornos de Algodres,Figueiró da Granja,House,NC,,False,0.0,False,1953.0,90.0,,,,,,3.0,,,,84.0,,,0.0
29900.0,Guarda,Seia,Loriga,Land,NC,,False,0.0,False,,127.0,,,,,,,,,,,,,0.0
699000.0,Guarda,Guarda,Benespera,House,A+,,False,3.0,True,2021.0,10000.0,457.0,,,,,4.0,,,,457.0,,,6.0
499000.0,Castelo Branco,Sertã,Sertã,House,D,,False,3.0,True,2003.0,234.0,228.0,,,,,3.0,,,,192.0,,,0.0
